# id, x, y, group_0, group_1, intens_0, intens_1, dissimil
2307304005018,1128358.31781,9196565.93444,64.691943128,27.3104265403,64.0367702562,29.1152786601,0.000103273149828
2307304005019,1127351.07148,9197406.22413,59.7956463794,32.7854286984,59.7956463794,32.7854286984,0.00015213006024
2307304005022,1127453.00128,9198828.76664,58.7750900669,37.210499228,58.7750900669,37.210499228,0.000371917726559
2307304005029,1128674.57293,9194972.19003,61.797752809,32.9147389293,61.797752809,32.9147389293,0.000114018393877
2307304005032,1131201.81606,9195862.31595,54.6108567691,37.9332897319,54.6108567691,37.9332897319,0.0004954328864
2307304005035,1125393.42782,9195354.44357,62.8887070376,29.3780687398,62.8887070376,29.3780687398,6.76771575381e-05
2307403001001,1097099.20152,9282954.30578,62.4287593161,33.0995177554,62.4287593161,33.0995177554,0.000108432166857
2307502003001,1156765.57978,9242218.80789,59.1060707138,35.8238825884,59.1060707138,35.8238825884,0.000302801094351
2307502003002,1174765.16572,9252068.54452,58.4532374101,37.170263789,58.4532374101,37.170263789,0.000377176796244
2307601003001,1284797.01988,9417348.10991,40.7020164302,51.4189693801,40.7020164302,51.4189693801,0.00140192607423
2307601003002,1266841.26042,9429648.29381,50.5330490405,40.5828002843,50.5330490405,40.5828002843,0.000703012418391
2307635001001,1109161.49759,9460782.4837,69.5664823974,24.032586558,69.5664823974,24.032586558,0.00045251881391
2307650005004,1209539.87802,9570535.69006,67.011910927,25.5825996893,67.011910927,25.5825996893,0.000327377380222
2307650005005,1211811.89089,9571486.32543,64.2238507662,29.9133910726,64.2238507662,29.9133910726,7.3057020598e-05
2307650005006,1211654.36523,9568631.58638,60.3328710125,33.7725381415,60.3328710125,33.7725381415,0.000184394410823
2307650005009,1210378.20431,9568794.35798,60.5197401299,33.8330834583,60.5197401299,33.8330834583,0.000182999915535
2307650005010,1208713.65316,9568646.95555,65.1733333333,29.92,65.1733333333,29.92,9.35722355142e-05
2307650005014,1207513.54829,9563507.35826,56.7825112108,25.1121076233,56.7825112108,25.1121076233,0.00012416737823
2307650005020,1206670.89132,9571336.01594,62.2721749696,27.4605103281,62.2721749696,27.4605103281,0.00013971430595
2307650005029,1208572.2866,9574457.30879,64.5230902028,29.52093224,64.5230902028,29.52093224,9.71246692121e-05
2307650005033,1210507.30625,9572323.43815,62.6223091977,31.0502283105,62.6223091977,31.0502283105,1.27631928638e-05
2307650005038,1213763.67502,9571079.5532,66.445690974,28.4038755737,66.445690974,28.4038755737,0.000189099134364
2307650005045,1214981.30517,9570314.26008,69.0185436454,24.7851650837,69.0185436454,24.7851650837,0.000406933994777
2307700003001,1177965.87654,9552088.81388,72.6516052319,23.305588585,72.6516052319,23.305588585,0.000552570530781
2307700003002,1204871.32187,9566782.48781,60.0,32.3028391167,60.0,32.3028391167,0.000126120961234
2307700003003,1202573.24015,9564316.7819,56.7302452316,35.2588555858,56.7302452316,35.2588555858,0.000329664617264
2307700003004,1199565.59118,9564674.24446,63.3992094862,29.3280632411,63.3992094862,29.3280632411,8.1096919877e-05
2307700003005,1194658.12752,9553262.94357,62.5728987993,27.6843910806,62.5728987993,27.6843910806,0.000136317147295
2307809001001,1026944.8041,9646249.54912,62.1454993835,28.7299630086,62.1454993835,28.7299630086,8.03026293733e-05
2307908001001,984083.670234,9648698.33078,76.0039177277,20.763956905,76.0039177277,20.763956905,0.00073943628607
2308005003001,1017732.73962,9609307.55369,66.5012406948,22.7667493797,66.5012406948,22.7667493797,0.00044181107744
2308005003002,1012794.95774,9613640.69792,79.711815562,12.9106628242,79.711815562,12.9106628242,0.00117106972174
2308104003001,1189603.64857,9166157.99238,65.5756867329,28.9304500292,65.5756867329,28.9304500292,0.000146538452562
2308104003002,1198313.76482,9183753.94279,61.3323933733,32.2171307719,61.3323933733,32.2171307719,9.30947491961e-05
2308203001001,1005715.81125,9603233.14882,75.2618273745,19.8627663416,75.2618273745,19.8627663416,0.000763377359186
2308302001001,1170338.17802,9191209.419,67.4216027875,27.1080139373,67.4216027875,27.1080139373,0.000268301957883
2308351001001,1146605.0688,9373230.84153,49.6976568405,45.4270597128,49.6976568405,45.4270597128,0.000937443463958
2308377001001,1066014.21453,9604844.01807,68.5477505919,26.953433307,68.5477505919,26.953433307,0.000299880494662
2308401003001,1143446.82268,9180287.69948,69.9126092385,21.9101123596,69.9126092385,21.9101123596,0.000554796918896
2308401003002,1149944.73491,9198156.73957,67.661971831,27.0985915493,67.661971831,27.0985915493,0.000273990560885
2308500003001,1084935.92399,9345496.54344,61.2473721093,35.8093903294,61.2473721093,35.8093903294,0.000255223057863
2308500003002,1080194.69077,9366511.67139,61.117196057,35.6699525374,61.117196057,35.6699525374,0.000251855291325
2308609001001,1050105.05874,9454616.63329,60.7665301346,24.6928028087,60.7665301346,24.6928028087,0.000230193036864
2308708003001,1222942.72619,9420438.91902,53.7006578947,42.6809210526,53.7006578947,42.6809210526,0.000727192528804
2308708003002,1235912.93974,9459172.39044,55.2928533047,39.3605588393,55.2928533047,39.3605588393,0.000544161491786
2308807001001,980363.839936,9616302.46731,79.0914747978,16.8637212197,79.0914747978,16.8637212197,0.000981112011391
2308906001001,1046022.54207,9635645.11959,57.6066790353,34.0445269017,57.6066790353,34.0445269017,0.000256279586836
2309003001001,971711.406408,9567937.51463,55.2433173406,37.45716244,55.2433173406,37.45716244,0.000460329160255
2309102001001,1168184.22113,9521365.22197,66.2058371736,26.4592933948,66.2058371736,26.4592933948,0.000270597678754
2309201001001,1089955.20515,9212502.92096,65.3682719547,27.8328611898,65.3682719547,27.8328611898,0.000190960256441
2309300003001,991616.809787,9467909.95979,55.7617942769,39.5204949729,55.7617942769,39.5204949729,0.000541018968213
2309300003002,997414.857959,9483790.12438,71.1986681465,24.2508324084,71.1986681465,24.2508324084,0.000478555060105
2309409001001,968772.606983,9380125.29664,58.3853211009,32.8073394495,58.3853211009,32.8073394495,0.000184018064432
2309458001001,1221746.3883,9496252.96734,70.5553164012,23.6762806715,70.5553164012,23.6762806715,0.000490087566855
2309508001001,1171111.78409,9305942.48564,64.8711943794,32.6932084309,64.8711943794,32.6932084309,3.677359715e-05
2309607003001,1226222.27835,9534262.27334,69.3280346821,26.7341040462,69.3280346821,26.7341040462,0.000326767335146
2309607003002,1222926.03512,9534540.85933,67.0263788969,26.8285371703,67.0263788969,26.8285371703,0.000272108290842
