COD_MUN,Nome,State,Candidate,Round,Votes,Tot_Votes,Pct_Votes
1504455,Medicilândia,PA,DILMA VANA ROUSSEFF,2,4055,11594,34.97498706227359
1502772,Curionópolis,PA,DILMA VANA ROUSSEFF,2,5673,10504,54.00799695354151
1705508,Colinas do Tocantins,TO,DILMA VANA ROUSSEFF,2,7548,15905,47.45677459918265
1707108,Divinópolis do Tocantins,TO,DILMA VANA ROUSSEFF,2,2416,3685,65.56309362279511
1101302,Mirante da Serra,RO,DILMA VANA ROUSSEFF,2,2900,6217,46.646292423998716
1721000,Palmas,TO,DILMA VANA ROUSSEFF,2,62971,127690,49.3155297987313
2404408,Grossos,RN,DILMA VANA ROUSSEFF,2,4266,5758,74.08822507815213
2929370,São José do Jacuípe,BA,DILMA VANA ROUSSEFF,2,3823,5127,74.56602301540862
2209757,São Gonçalo do Gurguéia,PI,DILMA VANA ROUSSEFF,2,958,1421,67.41731175228712
2914000,Ipirá,BA,DILMA VANA ROUSSEFF,2,20459,30337,67.43910076803903
2408805,Parazinho,RN,DILMA VANA ROUSSEFF,2,2772,3424,80.95794392523365
2102101,Brejo,MA,DILMA VANA ROUSSEFF,2,13916,16296,85.39518900343643
2508208,Lagoa de Dentro,PB,DILMA VANA ROUSSEFF,2,3108,4450,69.84269662921349
2610707,Paulista,PE,DILMA VANA ROUSSEFF,2,111727,157942,70.73925871522458
2401404,Baía Formosa,RN,DILMA VANA ROUSSEFF,2,3496,4856,71.99341021416804
2605459,Fernando de Noronha,PE,DILMA VANA ROUSSEFF,2,783,1316,59.49848024316109
2513653,Joca Claudino,PB,DILMA VANA ROUSSEFF,2,1427,1800,79.27777777777779
2201919,Bom Princípio do Piauí,PI,DILMA VANA ROUSSEFF,2,3218,4018,80.0895968143355
2507309,Jacaraú,PB,DILMA VANA ROUSSEFF,2,5571,8685,64.14507772020725
2300705,Alto Santo,CE,DILMA VANA ROUSSEFF,2,7877,8840,89.10633484162896
2930303,Serra Dourada,BA,DILMA VANA ROUSSEFF,2,6512,10113,64.3923662612479
2105005,Humberto de Campos,MA,DILMA VANA ROUSSEFF,2,10293,11918,86.36516193992281
2201945,Boqueirão do Piauí,PI,DILMA VANA ROUSSEFF,2,3002,3443,87.19140284635493
2924009,Paulo Afonso,BA,DILMA VANA ROUSSEFF,2,47477,55967,84.83034645416049
2504405,Conceição,PB,DILMA VANA ROUSSEFF,2,7855,10039,78.24484510409403
2704203,Limoeiro de Anadia,AL,DILMA VANA ROUSSEFF,2,9069,11730,77.31457800511508
2611002,Petrolândia,PE,DILMA VANA ROUSSEFF,2,13953,18036,77.36194278110446
2806404,Santana do São Francisco,SE,DILMA VANA ROUSSEFF,2,3030,3959,76.53447840363728
2707305,Porto Calvo,AL,DILMA VANA ROUSSEFF,2,3722,12699,29.309394440507123
2906204,Canarana,BA,DILMA VANA ROUSSEFF,2,9866,12469,79.12422808565242
2913101,Ibititá,BA,DILMA VANA ROUSSEFF,2,9118,10472,87.07028265851795
3303104,Natividade,RJ,DILMA VANA ROUSSEFF,2,3793,8161,46.477147408405834
3102704,Cachoeira de Pajeú,MG,DILMA VANA ROUSSEFF,2,3227,4621,69.83336940056265
3303856,Paty do Alferes,RJ,DILMA VANA ROUSSEFF,2,8879,15079,58.88321506731216
3126802,Frei Gaspar,MG,DILMA VANA ROUSSEFF,2,2442,3369,72.48441674087266
3157658,Santa Helena de Minas,MG,DILMA VANA ROUSSEFF,2,2024,3271,61.87710180372975
3131406,Ipiaçu,MG,DILMA VANA ROUSSEFF,2,1602,2574,62.23776223776224
3527702,Luiziânia,SP,DILMA VANA ROUSSEFF,2,1023,2963,34.52581842726966
3301900,Itaboraí,RJ,DILMA VANA ROUSSEFF,2,82860,114112,72.61287156477846
3302106,Itaocara,RJ,DILMA VANA ROUSSEFF,2,5877,13114,44.81470184535611
3536570,Paulistânia,SP,DILMA VANA ROUSSEFF,2,301,1218,24.71264367816092
3501608,Americana,SP,DILMA VANA ROUSSEFF,2,44206,131094,33.720841533556076
3519006,Herculândia,SP,DILMA VANA ROUSSEFF,2,2344,5142,45.5853753403345
3103009,Antônio Dias,MG,DILMA VANA ROUSSEFF,2,3963,6168,64.25097276264592
3302403,Macaé,RJ,DILMA VANA ROUSSEFF,2,55213,96515,57.20665181577993
3129301,Iapu,MG,DILMA VANA ROUSSEFF,2,3399,5921,57.40584360749873
3511607,Cesário Lange,SP,DILMA VANA ROUSSEFF,2,1449,8639,16.772774626692904
3134806,Jacuí,MG,DILMA VANA ROUSSEFF,2,1303,4512,28.87854609929078
3109105,Bueno Brandão,MG,DILMA VANA ROUSSEFF,2,1941,6728,28.849583828775266
3110608,Cambuí,MG,DILMA VANA ROUSSEFF,2,5806,15752,36.85881157948197
3164001,São Pedro dos Ferros,MG,DILMA VANA ROUSSEFF,2,3242,4703,68.93472251754199
3201704,Conceição do Castelo,ES,DILMA VANA ROUSSEFF,2,1658,6726,24.65060957478442
4112603,Jardim Olinda,PR,DILMA VANA ROUSSEFF,2,653,1025,63.707317073170735
4118006,Paraíso do Norte,PR,DILMA VANA ROUSSEFF,2,4143,7351,56.359678955244185
4118303,Paranapoema,PR,DILMA VANA ROUSSEFF,2,1002,1673,59.89240884638374
4312674,Nicolau Vergueiro,RS,DILMA VANA ROUSSEFF,2,549,1427,38.47231955150666
4201703,Ascurra,SC,DILMA VANA ROUSSEFF,2,1149,4974,23.10012062726176
4206306,Guabiruba,SC,DILMA VANA ROUSSEFF,2,2472,11926,20.727821566325673
4101903,Assaí,PR,DILMA VANA ROUSSEFF,2,2903,10260,28.294346978557506
4112702,Jataizinho,PR,DILMA VANA ROUSSEFF,2,2641,7422,35.58340070061978
4314548,Pinto Bandeira,RS,DILMA VANA ROUSSEFF,2,506,1785,28.34733893557423
4103602,Cambará,PR,DILMA VANA ROUSSEFF,2,5902,13863,42.57375748395008
4217253,São Pedro de Alcântara,SC,DILMA VANA ROUSSEFF,2,975,2906,33.55127322780454
4114609,Marechal Cândido Rondon,PR,DILMA VANA ROUSSEFF,2,11207,29750,37.67058823529412
4319356,São Pedro da Serra,RS,DILMA VANA ROUSSEFF,2,1004,2328,43.12714776632303
4314902,Porto Alegre,RS,DILMA VANA ROUSSEFF,2,375606,816103,46.02433761424722
4306924,Engenho Velho,RS,DILMA VANA ROUSSEFF,2,535,973,54.98458376156218
4312450,Morro Redondo,RS,DILMA VANA ROUSSEFF,2,2158,4119,52.3913571255159
4318804,São Lourenço do Sul,RS,DILMA VANA ROUSSEFF,2,14420,28211,51.11481337067102
4120309,Porto Vitória,PR,DILMA VANA ROUSSEFF,2,1137,2549,44.6057277363672
4109609,Guaratuba,PR,DILMA VANA ROUSSEFF,2,6596,18106,36.42991273610958
4314308,Pejuçara,RS,DILMA VANA ROUSSEFF,2,1378,2621,52.57535291873331
5221908,Varjão,GO,DILMA VANA ROUSSEFF,2,887,2604,34.06298003072197
5006309,Paranaíba,MS,DILMA VANA ROUSSEFF,2,9905,22353,44.31172549545922
29432,BRUXELAS,ZZ,DILMA VANA ROUSSEFF,2,457,1381,33.091962346125996
1720002,Santa Terezinha do Tocantins,TO,DILMA VANA ROUSSEFF,2,1007,1494,67.40294511378849
1505064,Novo Repartimento,PA,DILMA VANA ROUSSEFF,2,15306,25334,60.41683113602274
1707652,Figueirópolis,TO,DILMA VANA ROUSSEFF,2,1805,3049,59.19973761889143
1502004,Cachoeira do Arari,PA,DILMA VANA ROUSSEFF,2,8678,10583,81.99943305300954
1702703,Aurora do Tocantins,TO,DILMA VANA ROUSSEFF,2,1252,1963,63.779928680590935
2101350,Bacurituba,MA,DILMA VANA ROUSSEFF,2,2502,2864,87.36033519553072
2502805,Brejo do Cruz,PB,DILMA VANA ROUSSEFF,2,4877,7131,68.39152993969991
2606309,Granito,PE,DILMA VANA ROUSSEFF,2,3582,4393,81.53881174595948
2802403,Gararu,SE,DILMA VANA ROUSSEFF,2,5383,6703,80.30732507832315
2606507,Iati,PE,DILMA VANA ROUSSEFF,2,8460,9588,88.23529411764706
2613206,São João,PE,DILMA VANA ROUSSEFF,2,9021,11685,77.201540436457
2801702,Cristinápolis,SE,DILMA VANA ROUSSEFF,2,6804,8607,79.05193447194144
2703205,Igreja Nova,AL,DILMA VANA ROUSSEFF,2,9189,11983,76.68363514979555
2404606,Ielmo Marinho,RN,DILMA VANA ROUSSEFF,2,5878,7464,78.7513397642015
2923100,Olindina,BA,DILMA VANA ROUSSEFF,2,10516,12286,85.59335829399316
2208874,Ribeira do Piauí,PI,DILMA VANA ROUSSEFF,2,2207,2385,92.53668763102726
2508554,Logradouro,PB,DILMA VANA ROUSSEFF,2,1732,2401,72.1366097459392
2506251,Gado Bravo,PB,DILMA VANA ROUSSEFF,2,4244,5196,81.67821401077752
2901106,Amélia Rodrigues,BA,DILMA VANA ROUSSEFF,2,9847,13008,75.69956949569494
2111573,São Pedro dos Crentes,MA,DILMA VANA ROUSSEFF,2,1251,2507,49.90027921818907
2303402,Carnaubal,CE,DILMA VANA ROUSSEFF,2,6829,8316,82.11880711880711
2928703,Santo Antônio de Jesus,BA,DILMA VANA ROUSSEFF,2,30984,46522,66.6007480331886
2507903,Juripiranga,PB,DILMA VANA ROUSSEFF,2,4901,6747,72.63969171483622
2501807,Bayeux,PB,DILMA VANA ROUSSEFF,2,35746,53541,66.76378849853384
2932101,Ubaíra,BA,DILMA VANA ROUSSEFF,2,6799,10603,64.123361312836
2931806,Tremedal,BA,DILMA VANA ROUSSEFF,2,6597,9610,68.64724245577524
2902906,Barra do Choça,BA,DILMA VANA ROUSSEFF,2,11441,17821,64.19953986869423
2915809,Itambé,BA,DILMA VANA ROUSSEFF,2,7691,11641,66.06820719869427
2913606,Ilhéus,BA,DILMA VANA ROUSSEFF,2,52546,87917,59.76773547778018
2200202,Água Branca,PI,DILMA VANA ROUSSEFF,2,7376,9702,76.02556173984746
2200509,Amarante,PI,DILMA VANA ROUSSEFF,2,8400,9954,84.38818565400844
2807105,Simão Dias,SE,DILMA VANA ROUSSEFF,2,17758,24796,71.6163897402807
2700300,Arapiraca,AL,DILMA VANA ROUSSEFF,2,63635,104997,60.60649351886245
2708808,São Sebastião,AL,DILMA VANA ROUSSEFF,2,12849,16945,75.82767778105635
2923704,Paratinga,BA,DILMA VANA ROUSSEFF,2,12716,15112,84.14505029115934
2103158,Centro do Guilherme,MA,DILMA VANA ROUSSEFF,2,4635,5189,89.32356908845634
2901155,América Dourada,BA,DILMA VANA ROUSSEFF,2,6776,8134,83.30464716006884
3300704,Cabo Frio,RJ,DILMA VANA ROUSSEFF,2,38884,89152,43.6153984206748
3202306,Guaçuí,ES,DILMA VANA ROUSSEFF,2,5663,14568,38.8728720483251
3203403,Mimoso do Sul,ES,DILMA VANA ROUSSEFF,2,8061,14970,53.84769539078156
3302908,Miguel Pereira,RJ,DILMA VANA ROUSSEFF,2,6973,15240,45.75459317585302
3505203,Bariri,SP,DILMA VANA ROUSSEFF,2,3190,17387,18.347040892620925
3523503,Itatinga,SP,DILMA VANA ROUSSEFF,2,2480,10200,24.313725490196077
3162955,São José da Lapa,MG,DILMA VANA ROUSSEFF,2,6332,13034,48.58063526162344
3106200,Belo Horizonte,MG,DILMA VANA ROUSSEFF,2,521813,1461240,35.710287153376584
3500501,Águas de Lindóia,SP,DILMA VANA ROUSSEFF,2,2055,10266,20.017533606078317
3515350,Euclides da Cunha Paulista,SP,DILMA VANA ROUSSEFF,2,3389,5172,65.52590873936582
3508900,Caiabu,SP,DILMA VANA ROUSSEFF,2,1575,2843,55.39922616953922
3110806,Campanário,MG,DILMA VANA ROUSSEFF,2,1445,2184,66.16300366300366
3530300,Mirassol,SP,DILMA VANA ROUSSEFF,2,10322,30837,33.4727762103966
3534203,Orindiúva,SP,DILMA VANA ROUSSEFF,2,1242,3417,36.347673397717294
3168200,Tapiraí,MG,DILMA VANA ROUSSEFF,2,858,1395,61.505376344086024
3148905,Pedra do Indaiá,MG,DILMA VANA ROUSSEFF,2,1198,2796,42.846924177396275
3111200,Campo Belo,MG,DILMA VANA ROUSSEFF,2,16294,29667,54.9229783935012
3165107,São Tomás de Aquino,MG,DILMA VANA ROUSSEFF,2,1963,4245,46.24263839811543
3158300,Santana da Vargem,MG,DILMA VANA ROUSSEFF,2,2497,4755,52.51314405888539
3159209,Santa Rita de Caldas,MG,DILMA VANA ROUSSEFF,2,2603,5858,44.43496073745305
3509957,Canas,SP,DILMA VANA ROUSSEFF,2,1163,2895,40.1727115716753
3538501,Piquete,SP,DILMA VANA ROUSSEFF,2,2000,8380,23.86634844868735
3526308,Lagoinha,SP,DILMA VANA ROUSSEFF,2,1151,3833,30.02869814766501
3117702,Conceição do Rio Verde,MG,DILMA VANA ROUSSEFF,2,3242,7381,43.92358758975748
3522505,Itapevi,SP,DILMA VANA ROUSSEFF,2,59093,106043,55.72550757711494
3515103,Embu-Guaçu,SP,DILMA VANA ROUSSEFF,2,16135,36985,43.625794240908476
3123304,Dores do Turvo,MG,DILMA VANA ROUSSEFF,2,2104,3432,61.3053613053613
3140209,Maripá de Minas,MG,DILMA VANA ROUSSEFF,2,1366,2249,60.73810582481103
4305975,Coxilha,RS,DILMA VANA ROUSSEFF,2,917,1933,47.439213657527155
4200309,Agronômica,SC,DILMA VANA ROUSSEFF,2,1155,3264,35.38602941176471
4103305,Borrazópolis,PR,DILMA VANA ROUSSEFF,2,2219,5107,43.45016643822205
4117008,Nova Fátima,PR,DILMA VANA ROUSSEFF,2,2084,4547,45.8324169782274
4319109,São Martinho,RS,DILMA VANA ROUSSEFF,2,1848,4023,45.9358687546607
4306809,Encantado,RS,DILMA VANA ROUSSEFF,2,4847,13357,36.288088642659275
4107124,Diamante do Sul,PR,DILMA VANA ROUSSEFF,2,1276,2188,58.3180987202925
4109658,Honório Serpa,PR,DILMA VANA ROUSSEFF,2,2085,3406,61.215502055196716
4105706,Clevelândia,PR,DILMA VANA ROUSSEFF,2,5621,9720,57.82921810699588
4306601,Dom Pedrito,RS,DILMA VANA ROUSSEFF,2,12797,21655,59.094897252366664
4118600,Paula Freitas,PR,DILMA VANA ROUSSEFF,2,1457,3539,41.169821983611186
4120101,Porto Amazonas,PR,DILMA VANA ROUSSEFF,2,712,2789,25.52886339189674
4321634,Três Arroios,RS,DILMA VANA ROUSSEFF,2,915,2175,42.06896551724138
4306957,Entre Rios do Sul,RS,DILMA VANA ROUSSEFF,2,1059,2074,51.060752169720345
4206702,Herval d'Oeste,SC,DILMA VANA ROUSSEFF,2,4435,13051,33.98207033943759
4107306,Doutor Camargo,PR,DILMA VANA ROUSSEFF,2,1624,4037,40.22789199900917
5204557,Caldazinha,GO,DILMA VANA ROUSSEFF,2,928,2074,44.74445515911283
5222203,Vila Boa,GO,DILMA VANA ROUSSEFF,2,1284,2164,59.33456561922365
5204805,Campo Alegre de Goiás,GO,DILMA VANA ROUSSEFF,2,1958,3515,55.704125177809395
5208103,Formoso,GO,DILMA VANA ROUSSEFF,2,1733,2891,59.94465582843307
29459,BUDAPESTE,ZZ,DILMA VANA ROUSSEFF,2,15,73,20.54794520547945
29882,KUAITE,ZZ,DILMA VANA ROUSSEFF,2,6,17,35.294117647058826
29688,ESTOCOLMO,ZZ,DILMA VANA ROUSSEFF,2,306,746,41.01876675603217
1505304,Oriximiná,PA,DILMA VANA ROUSSEFF,2,13839,25478,54.317450349320985
1503606,Itaituba,PA,DILMA VANA ROUSSEFF,2,24874,42386,58.684471287689334
1501782,Breu Branco,PA,DILMA VANA ROUSSEFF,2,12361,18159,68.07092901591497
1702307,Arapoema,TO,DILMA VANA ROUSSEFF,2,2180,3272,66.62591687041565
1301506,Envira,AM,DILMA VANA ROUSSEFF,2,5383,6326,85.09326588681631
1703701,Brejinho de Nazaré,TO,DILMA VANA ROUSSEFF,2,1790,2990,59.86622073578596
1100304,Vilhena,RO,DILMA VANA ROUSSEFF,2,14096,38151,36.94791748578019
1715101,Novo Acordo,TO,DILMA VANA ROUSSEFF,2,1569,2363,66.39864578925095
1717909,Ponte Alta do Tocantins,TO,DILMA VANA ROUSSEFF,2,1828,3449,53.000869817338355
1720499,São Valério,TO,DILMA VANA ROUSSEFF,2,1510,2221,67.98739306618641
1508209,Vigia,PA,DILMA VANA ROUSSEFF,2,17022,23886,71.26350163275559
2413003,São Vicente,RN,DILMA VANA ROUSSEFF,2,2782,3641,76.40758033507278
2104008,Esperantinópolis,MA,DILMA VANA ROUSSEFF,2,8155,9471,86.1049519586105
2500536,Alcantil,PB,DILMA VANA ROUSSEFF,2,2082,3546,58.71404399323181
2604700,Correntes,PE,DILMA VANA ROUSSEFF,2,7577,8382,90.39608685277976
